timestamp,ticker,mode,long_score,short_score,confidence_label,signal_type,suggested_entry,stop_loss,target1,target2,reward_risk,atr,rsi14,vwap,rel_volume,outcome_pnl,outcome_note
2026-03-11T13:26:50,LITE,live,25.3,68.7,Strong Short,SHORT_SETUP,665.0,666.9157,662.1264,660.2107,1.5,1.9157142857142813,33.914728682170505,691.2202191793332,4.6,,
2026-03-11T13:26:55,LITE,live,34.3,68.7,Strong Short,SHORT_SETUP,665.0,666.9157,662.1264,660.2107,1.5,1.9157142857142813,33.914728682170505,691.2202191793332,4.6,,
2026-03-11T13:27:00,LITE,live,34.3,68.7,Strong Short,SHORT_SETUP,665.0,666.9157,662.1264,660.2107,1.5,1.9157142857142813,33.914728682170505,691.2202191793332,4.6,,
2026-03-11T13:27:05,LITE,live,34.3,68.7,Strong Short,SHORT_SETUP,665.0,666.9157,662.1264,660.2107,1.5,1.9157142857142813,33.914728682170505,691.2202191793332,4.6,,
2026-03-11T13:27:10,LITE,live,34.3,68.7,Strong Short,SHORT_SETUP,665.0,666.9157,662.1264,660.2107,1.5,1.9157142857142813,33.914728682170505,691.2202191793332,4.6,,
2026-03-11T13:27:15,LITE,live,34.3,68.7,Strong Short,SHORT_SETUP,665.0,666.9157,662.1264,660.2107,1.5,1.9157142857142813,33.914728682170505,691.2202191793332,4.6,,
2026-03-11T13:27:21,LITE,live,34.3,68.7,Strong Short,SHORT_SETUP,665.0,666.9157,662.1264,660.2107,1.5,1.9157142857142813,33.914728682170505,691.2202191793332,4.6,,
2026-03-11T13:27:26,LITE,live,34.3,68.7,Strong Short,SHORT_SETUP,665.0,666.9157,662.1264,660.2107,1.5,1.9157142857142813,33.914728682170505,691.2202191793332,4.6,,
2026-03-11T13:27:31,LITE,live,34.3,68.7,Strong Short,SHORT_SETUP,665.0,666.9157,662.1264,660.2107,1.5,1.9157142857142813,33.914728682170505,691.2202191793332,4.6,,
2026-03-11T13:27:36,LITE,live,34.3,68.7,Strong Short,SHORT_SETUP,665.0,666.9157,662.1264,660.2107,1.5,1.9157142857142813,33.914728682170505,691.2202191793332,4.6,,
2026-03-11T13:27:41,LITE,live,25.3,77.8,Strong Short,SHORT_SETUP,662.63,664.5457,659.7564,657.8407,1.5,1.9157142857142813,33.914728682170505,691.2202191793332,4.6,,
2026-03-11T13:27:46,LITE,live,34.3,68.7,Strong Short,SHORT_SETUP,662.63,664.5457,659.7564,657.8407,1.5,1.9157142857142813,33.914728682170505,691.2202191793332,4.6,,
2026-03-11T13:27:52,LITE,live,34.3,68.7,Strong Short,SHORT_SETUP,662.63,664.5457,659.7564,657.8407,1.5,1.9157142857142813,33.914728682170505,691.2202191793332,4.6,,
2026-03-11T13:27:57,LITE,live,34.3,68.7,Strong Short,SHORT_SETUP,659.96,661.8757,657.0864,655.1707,1.5,1.9157142857142813,33.914728682170505,691.2202191793332,4.6,,
2026-03-11T13:28:02,LITE,live,34.3,68.7,Strong Short,SHORT_SETUP,655.8,657.7157,652.9264,651.0107,1.5,1.9157142857142813,33.914728682170505,691.2202191793332,4.6,,
2026-03-11T13:28:07,LITE,live,34.3,68.7,Strong Short,SHORT_SETUP,655.8,657.7157,652.9264,651.0107,1.5,1.9157142857142813,33.914728682170505,691.2202191793332,4.6,,
2026-03-11T13:28:12,LITE,live,34.3,68.7,Strong Short,SHORT_SETUP,655.8,657.7157,652.9264,651.0107,1.5,1.9157142857142813,33.914728682170505,691.2202191793332,4.6,,
2026-03-11T13:28:17,LITE,live,34.3,68.7,Strong Short,SHORT_SETUP,655.8,657.7157,652.9264,651.0107,1.5,1.9157142857142813,33.914728682170505,691.2202191793332,4.6,,
2026-03-11T13:28:22,LITE,live,34.3,68.7,Strong Short,SHORT_SETUP,656.0,657.9157,653.1264,651.2107,1.5,1.9157142857142813,33.914728682170505,691.2202191793332,4.6,,
2026-03-11T13:28:28,LITE,live,34.3,68.7,Strong Short,SHORT_SETUP,656.0,657.9157,653.1264,651.2107,1.5,1.9157142857142813,33.914728682170505,691.2202191793332,4.6,,
2026-03-11T13:28:33,LITE,live,34.3,68.7,Strong Short,SHORT_SETUP,656.0,657.9157,653.1264,651.2107,1.5,1.9157142857142813,33.914728682170505,691.2202191793332,4.6,,
2026-03-11T13:28:38,LITE,live,34.3,68.7,Strong Short,SHORT_SETUP,656.0,657.9157,653.1264,651.2107,1.5,1.9157142857142813,33.914728682170505,691.2202191793332,4.6,,
2026-03-11T13:28:43,LITE,live,34.3,68.7,Strong Short,SHORT_SETUP,656.0,657.9157,653.1264,651.2107,1.5,1.9157142857142813,33.914728682170505,691.2202191793332,4.6,,
2026-03-11T13:28:48,LITE,live,34.3,68.7,Strong Short,SHORT_SETUP,655.98,657.8957,653.1064,651.1907,1.5,1.9157142857142813,33.914728682170505,691.2202191793332,4.6,,
2026-03-11T13:28:53,LITE,live,34.3,68.7,Strong Short,SHORT_SETUP,655.3,657.2157,652.4264,650.5107,1.5,1.9157142857142813,33.914728682170505,691.2202191793332,4.6,,
2026-03-11T13:28:59,LITE,live,25.3,77.8,Strong Short,SHORT_SETUP,655.3,657.2157,652.4264,650.5107,1.5,1.9157142857142813,33.914728682170505,691.2202191793332,4.6,,
2026-03-11T13:29:04,LITE,live,25.3,68.7,Strong Short,SHORT_SETUP,655.0,656.9157,652.1264,650.2107,1.5,1.9157142857142813,33.914728682170505,691.2202191793332,4.6,,
2026-03-11T13:29:09,LITE,live,25.3,68.7,Strong Short,SHORT_SETUP,655.0,656.9157,652.1264,650.2107,1.5,1.9157142857142813,33.914728682170505,691.2202191793332,4.6,,
2026-03-11T13:29:14,LITE,live,25.3,68.7,Strong Short,SHORT_SETUP,653.0,654.9157,650.1264,648.2107,1.5,1.9157142857142813,33.914728682170505,691.2202191793332,4.6,,
